#Sequences	Subjects	Samples	Metadata
102	234	1	RSID,visitno,sex,RUNCENTER,HMPbodysubsite,Mislabeled,Contaminated
105	233	1	None
106	232	1	None
107	231	1	None
112	230	1	None
113	229	1	None
115	228	1	None
122	227	1	None
125	226	1	None
129	225	1	None
132	224	1	None
135	223	1	None
136	222	1	None
142	221	1	None
143	220	1	None
149	219	1	None
151	218	1	None
155	217	1	None
158	216	1	None
161	215	1	None
169	214	1	None
170	213	1	None
172	212	1	None
174	211	1	None
176	210	1	None
177	209	1	None
178	208	1	None
179	207	1	None
183	206	1	None
184	205	1	None
192	204	1	None
195	203	1	None
196	202	1	None
214	201	1	None
215	200	1	None
218	199	1	None
219	198	1	None
229	197	1	None
231	196	1	None
234	195	1	None
237	194	1	None
244	193	1	None
247	192	1	None
253	191	1	None
258	190	1	None
273	189	1	None
274	188	1	None
279	187	1	None
290	186	1	None
291	185	1	None
298	184	1	None
303	183	1	None
304	182	1	None
306	181	1	None
342	180	1	None
345	179	1	None
348	178	1	None
350	177	1	None
352	176	1	None
366	175	1	None
381	174	1	None
395	173	1	None
408	172	1	None
431	171	1	None
436	170	1	None
443	169	1	None
451	168	1	None
461	167	1	None
482	166	1	None
489	165	1	None
491	164	1	None
507	163	1	None
558	162	1	None
559	161	1	None
573	160	1	None
579	159	1	None
593	158	1	None
594	157	1	None
597	156	1	None
603	155	1	None
604	154	1	None
609	153	1	None
617	152	1	None
630	151	1	None
634	150	1	None
636	149	1	None
658	148	1	None
663	147	1	None
674	146	1	None
705	145	1	None
709	144	1	None
712	143	1	None
723	142	1	None
726	141	1	None
746	140	1	None
754	139	1	None
779	138	1	None
794	137	1	None
798	136	1	None
811	135	1	None
818	134	1	None
826	133	1	None
829	132	1	None
837	131	1	None
883	130	1	None
884	129	1	None
894	128	1	None
901	127	1	None
929	126	1	None
931	125	1	None
944	124	1	None
978	123	1	None
986	122	1	None
1000	121	1	None
1009	120	1	None
1012	119	1	None
1034	118	1	None
1043	117	1	None
1072	116	1	None
1088	115	1	None
1097	114	1	None
1110	113	1	None
1138	112	1	None
1139	111	1	None
1167	110	1	None
1181	109	1	None
1182	108	1	None
1216	107	1	None
1227	106	1	None
1239	105	1	None
1259	104	1	None
1266	103	1	None
1280	102	1	None
1317	101	1	None
1318	100	1	None
1326	99	1	None
1341	98	1	None
1350	97	1	None
1391	96	1	None
1425	95	1	None
1444	94	1	None
1453	93	1	None
1463	92	1	None
1480	91	1	None
1481	90	1	None
1485	89	1	None
1542	88	1	None
1561	87	1	None
1578	86	1	None
1596	85	1	None
1655	84	1	None
1689	83	1	None
1714	82	1	None
1715	81	1	None
1779	80	1	None
1819	79	1	None
1845	78	1	None
1882	77	1	None
1899	76	1	None
1918	75	1	None
1920	74	1	None
1966	73	1	None
1975	72	1	None
1997	71	1	None
2032	70	1	None
2057	69	1	None
2066	68	1	None
2107	67	1	None
2136	66	1	None
2139	65	1	None
2194	64	1	None
2209	63	1	None
2215	62	1	None
2216	61	1	None
2223	60	1	None
2263	59	1	None
2275	58	1	None
2283	57	1	None
2301	56	1	None
2310	55	1	None
2317	54	1	None
2432	53	1	None
2462	52	1	None
2472	51	1	None
2498	50	1	None
2537	49	1	None
2601	48	1	None
2622	47	1	None
2626	46	1	None
2636	45	1	None
2645	44	1	None
2679	43	1	None
2771	42	1	None
2825	41	1	None
2841	40	1	None
2969	39	1	None
3053	38	1	None
3063	37	1	None
3067	36	1	None
3096	35	1	None
3109	34	1	None
3148	33	1	None
3189	32	1	None
3220	31	1	None
3289	30	1	None
3471	29	1	None
3479	28	1	None
3481	27	1	None
3508	26	1	None
3566	25	1	None
3567	24	1	None
3584	23	1	None
3722	22	1	None
3757	21	1	None
3808	20	1	None
3811	19	1	None
3940	18	1	None
4088	17	1	None
4109	16	1	None
4234	15	1	None
4457	14	1	None
4463	13	1	None
4683	12	1	None
4786	11	1	None
4985	10	1	None
5787	9	1	None
5906	8	1	None
7450	7	1	None
7695	6	1	None
8976	5	1	None
9832	4	1	None
10972	3	1	None
