pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
TS21	-0.0776218701403	0.00489027841118	-0.0716395047325	0.0217246059847	-0.0691382505845	0.0482284597468	-0.089244003746	0.144110317721	0.048092895473	-0.00958522564815	-0.0890054773312	0.0956920932783	0.0107924303747	0.00623659855981	0.0138674156151	0.0207136571745	0.0257156901722	0.0773435134312	-0.0645742435296	-0.0117619557948	-0.0657055299502	0.0725104705762	0.0324455958733	0.0284419663823	0.126560850005	-0.0108789026367	-0.00688240755264	-0.052805090177	0.0418748598431	0.0142236332569	0.0302071017881	-0.0410747685719	2.48468730413e-09
TS4	-0.122244022482	0.165795473331	0.0762584381868	0.0633990766634	-0.151237277226	0.0102225144607	-0.0615733825938	-0.109317537453	0.126432378784	-0.0502311601552	-0.0162251120742	-0.131643836721	-0.109186359531	0.0163700697918	0.0393049311118	0.00845931406431	-0.0412607997923	0.00135979617359	0.0764333204615	-0.00198114874839	0.0214163691657	-0.0220620845353	-0.0479379719984	-0.00300214294533	0.07045445566	0.0501285895437	0.0291724924404	-0.0161338606428	-0.00643092791546	0.0601380206827	-0.011103474205	-0.0022032366461	2.48468730413e-09
TS57	-0.347802361291	-0.0955219697986	0.0936059187965	0.051106011237	-0.20029743908	-0.217510769914	0.0153361824848	0.0507147250238	-0.0812863409208	0.0418155126272	0.0254236941602	0.0477917071619	0.0590482320314	-0.107050338335	0.0441032557931	0.00854841556539	-0.0156961423799	0.0568756698222	0.0135341341213	0.024284137912	0.0447136353832	-0.0384792197265	0.0319099916776	-0.0198156916155	-0.0154448968278	0.00140398440045	-0.00122359170402	0.0112175976117	-0.0112299002508	-0.00540531719985	-0.00134097807609	0.00570825573992	2.48468730413e-09
TS13	0.189987059249	0.0205419889923	-0.0038249081943	0.0499007610437	-0.00996303433219	-0.0520937252995	0.101518748704	0.0539956730895	0.0434891617852	0.0349077335037	0.0772708830433	-0.00482092642446	-0.0859727021247	0.0311104281449	0.0999354139431	-0.0528529674864	0.0921653610918	-0.0246004450808	0.0407383947543	-0.0564546463816	-0.00562470100759	-0.0632311939855	0.0609544939116	0.0260527848367	0.0285043988189	-0.00704254978221	0.0320124234302	-0.0062134603233	0.0399727383428	-0.0500443437833	0.0833266787863	0.0538248061871	2.48468730413e-09
TS26	0.119525919412	-0.0991272203069	0.0861625856387	-0.0531044709385	-0.0328409980206	0.122306908242	-0.01101415722	-0.0155505203776	-0.0659193101066	0.0772268569613	-0.1160182922	0.0280937114411	0.0257597987182	-0.0373079172562	0.0577891053021	-0.0251547877856	-0.0982634183407	-0.000222335567752	-0.00517956652337	-0.0210685762822	0.0092842783976	0.0278129177075	-0.054270324994	-0.027796327135	-0.00316171201957	0.0414284069711	0.143084750325	0.00557138277678	0.0332210958099	-0.0547664820939	-0.00949342874197	0.0270641577914	2.48468730413e-09
TS28	-0.0311941287783	-0.00730788487103	0.0173050846767	-0.0917892209802	0.0723769507244	0.0288120104636	-0.163032689453	0.113795847514	-0.07554299592	-0.018309343931	0.0641794016539	0.0599106028681	0.0108104606378	0.0146130592707	0.0158545426155	-0.0175214293159	0.106574638468	-0.0414355377649	0.154324322116	-0.0277398311337	0.038380537846	0.0211825376271	-0.0407717233757	-0.037376035238	0.0474214181434	-0.0439804129368	0.0278915503323	0.0307841875319	-0.0379099533582	0.0308169699406	-0.0383352043584	0.0166276119429	2.48468730413e-09
TS5	-0.121002889785	0.159056986062	0.05826327011	0.0556031055429	0.154904731843	-0.0321159407484	-0.104062316639	0.0544807285541	-0.133687732716	0.0333194143795	-0.0338866693829	-0.000472812099424	-0.0573359741186	0.0682721784748	-0.122728510336	0.0204860834659	-0.0737310511941	0.0207791379211	-0.0258180877807	-0.064173121041	0.0774129258716	-0.0879339764866	0.0138104435626	0.00756542956056	-0.00263859508929	0.0407539663017	-0.0136713045222	-0.0319492691327	0.0340746991857	-0.00428562115993	0.0302639583536	0.00232285030979	2.48468730413e-09
TS6	0.0403208425013	0.0961153276606	0.0383130016527	0.099374892002	0.0441837874546	-0.0530173481976	-0.180429063999	-0.0109390280851	-0.0292256316401	0.094379443375	0.0450735433916	-0.0568059599577	-0.0452668743978	0.0226399641843	0.0717819827657	0.030215484506	0.0139937695232	-0.0235677881335	-0.00510964934725	0.0938035678957	-0.109959477355	0.0755629225912	0.033440032989	-0.0522928313234	-0.0621837797177	0.0427647778098	-0.0401584987771	0.0128719901906	0.0245258877478	-0.0516535103481	-0.0205206444938	-0.00125719048602	2.48468730413e-09
TS7	0.176497301279	-0.0745463732822	-0.0161656781598	0.097198233476	0.0104620376258	0.0105847295478	0.00711087025295	-0.00555200966757	-0.0110632581286	-0.0184683517061	0.0795762871252	0.033868311611	0.00188979107347	0.0310255680753	-0.045914193252	0.0688331366455	-0.0758630047597	0.0362327144532	-0.0362733559733	0.0547220486356	-0.0975020581486	-0.0861411791532	0.035130835953	-0.0382019205054	0.0407202256365	-0.0707326520323	0.0535086114141	-0.0465516582355	-0.0596258304372	0.0328414100324	-0.0425915170647	0.0582405328247	2.48468730413e-09
TS8	0.179097935721	-0.0727959426431	0.031482806504	0.123937146422	-0.0276308183203	-0.0179816292009	0.0654206949225	0.0116955410665	0.0124792273843	-0.0557035625046	-0.000792259487018	0.046456602954	0.036008710969	0.062263002161	-0.077087458412	0.0366113747447	-0.00570282081744	0.063352268291	0.10442836384	0.0785756786977	-0.0148637940944	-0.0212679718428	-0.133167798827	-0.0239775983909	-0.00828126149978	-0.012582501086	-0.026249329912	0.0408863228865	0.0343691086195	-0.0377788180851	0.0521885100888	-0.0502836368108	2.48468730413e-09
